,K-12,CFT073,UMN026,UTI89,536,Residual,Gene Name,Description
PROKKA_01684,b4316,c5395,ECUMN_4923,UTI89_C5013,ECP_RS23595,1.5298628902732996,fimC,type 1 fimbriae periplasmic chaperone
PROKKA_02392,b3705,c4629,ECUMN_4237,UTI89_C4258,ECP_RS19845,1.53150044853055,yidC,membrane protein insertase YidC
PROKKA_03605,b2608,c3129,ECUMN_2933,UTI89_C2941,ECP_RS13355,1.5341256928765716,rimM,ribosome maturation factor RimM
PROKKA_01872,b4410,c5234,,UTI89_C4746,ECP_RS22380,1.5545456667755357,ecnA,"entericidin A lipoprotein, antidote to entericidin B"
PROKKA_02065,b3985,c4941,ECUMN_4507,UTI89_C3835,ECP_RS21395,1.556393363706704,rplJ,50S ribosomal subunit protein L10
PROKKA_04662,b1634,c2026,ECUMN_1925,UTI89_C1825,ECP_RS08060,1.5700433457957335,dtpA,dipeptide/tripeptide:H(+) symporter DtpA
PROKKA_01818,b4200,c5291,ECUMN_4733,UTI89_C4800,,1.5702354115972308,rpsF,30S ribosomal subunit protein S6
PROKKA_00695,b0835,c0920,ECUMN_1025,UTI89_C0838,ECP_RS04275,1.5723022229668147,rimO,ribosomal protein S12 methylthiotransferase RimO
PROKKA_03189,b2971,,ECUMN_3446,UTI89_C3387,ECP_RS15545,1.5816198984837304,yghG,lipoprotein YghG
PROKKA_02818,b3317,c4085,ECUMN_3790,UTI89_C3770,ECP_RS17365,1.5861497786258818,rplB,50S ribosomal subunit protein L2
PROKKA_01430,b0120,c0149,ECUMN_0117,UTI89_C0133,ECP_RS00650,1.593356674777342,speD,S-adenosylmethionine decarboxylase proenzyme
PROKKA_00930,b0606,c0695,ECUMN_0701,UTI89_C0609,ECP_RS03185,1.5953469858804283,ahpF,"alkyl hydroperoxide reductase, AhpF component"
PROKKA_00545,b0990,c1123,ECUMN_1172,UTI89_C1051,ECP_RS04990,1.5981480014962697,cspG,cold shock protein CspG
PROKKA_01816,b4202,c5292,ECUMN_4735,UTI89_C4802,ECP_RS22655,1.5989943988484874,rpsR,30S ribosomal subunit protein S18
PROKKA_02816,b3319,c4089,ECUMN_3792,UTI89_C3773,ECP_RS17375,1.5994759693451426,rplD,50S ribosomal subunit protein L4
PROKKA_00346,b1207,c1665,ECUMN_1504,UTI89_C1401,ECP_RS06370,1.615544808001246,prs,ribose-phosphate diphosphokinase
PROKKA_04002,b2185,c2722,ECUMN_2522,UTI89_C2462,ECP_RS11340,1.6187515153399876,rplY,50S ribosomal subunit protein L25
PROKKA_02821,b3314,c4080,ECUMN_3787,UTI89_C3765,ECP_RS17350,1.6223010688164639,rpsC,30S ribosomal subunit protein S3
PROKKA_02131,b3936,,ECUMN_4466,,ECP_RS21105,1.6292419041882744,rpmE,50S ribosomal subunit protein L31
PROKKA_01228,b0238,c0384,ECUMN_0304,UTI89_C0278,ECP_RS01350,1.6306349447198851,gpt,xanthine-guanine phsophoribosyltransferase
PROKKA_01681,b4318,c5397,ECUMN_4925,UTI89_C5015,ECP_RS23605,1.6405928637415785,fimF,type 1 fimbriae minor subunit FimF
PROKKA_00433,b1109,c1382,ECUMN_1287,UTI89_C1237,ECP_RS05595,1.6476675243796708,ndh,NADH:quinone oxidoreductase II
PROKKA_02915,b3231,c3985,ECUMN_3705,UTI89_C3661,ECP_RS16880,1.6508383823391806,rplM,50S ribosomal subunit protein L13
PROKKA_02820,b3315,c4082,ECUMN_3788,UTI89_C3767,ECP_RS17355,1.6542398032945338,rplV,50S ribosomal subunit protein L22
PROKKA_03452,,,,,ECP_RS14060,1.6555574606167913,,
PROKKA_02411,b3687,c4607,ECUMN_4218,UTI89_C4238,ECP_RS19745,1.6712975313590879,ibpA,small heat shock protein IbpA
PROKKA_01817,b4201,,ECUMN_4734,UTI89_C4801,ECP_RS22650,1.6911652525548933,priB,primosomal replication protein N
PROKKA_02879,b3260,c4026,ECUMN_3734,UTI89_C3702,ECP_RS17075,1.6916840886228026,dusB,tRNA-dihydrouridine synthase B
PROKKA_03606,b2607,c3128,ECUMN_2932,UTI89_C2940,ECP_RS13350,1.7200829526905848,trmD,tRNA m(1)G37 methyltransferase
PROKKA_02412,b3686,c4606,ECUMN_4217,UTI89_C4237,ECP_RS19740,1.7303631133339865,ibpB,small heat shock protein IbpB
PROKKA_03710,b2508,c3027,ECUMN_2824,UTI89_C2826,ECP_RS12810,1.7364530817713377,guaB,inosine 5'-monophosphate dehydrogenase
PROKKA_03695,b2518,c3041,ECUMN_2838,UTI89_C2840,ECP_RS12875,1.7380012072462163,ndk,nucleoside diphosphate kinase
PROKKA_04034,b2155,c2690,ECUMN_2490,UTI89_C2429,ECP_RS11180,1.7436213413493378,cirA,ferric dihyroxybenzoylserine outer membrane transporter
PROKKA_02878,b3261,c4027,ECUMN_3735,UTI89_C3703,ECP_RS17080,1.803725429163908,fis,DNA-binding transcriptional dual regulator Fis
PROKKA_03425,b2796,c3364,ECUMN_3125,UTI89_C3167,ECP_RS14200,1.8097593040465925,sdaC,serine:H(+) symporter SdaC
PROKKA_02393,b3704,c4628,ECUMN_4235,UTI89_C4255,ECP_RS19835,1.8116329231452681,rnpA,RNase P protein component
PROKKA_02814,b3321,c4092,ECUMN_3794,UTI89_C3776,ECP_RS17385,1.8118729124186193,rpsJ,30S ribosomal subunit protein S10
PROKKA_01683,b4317,c5396,ECUMN_4924,UTI89_C5014,ECP_RS23600,1.8309162314865361,fimD,type I fimbriae usher protein
PROKKA_02770,b3364,c4139,ECUMN_3827,UTI89_C3867,ECP_RS17620,1.8395158835887986,tsgA,putative transporter TsgA
PROKKA_03678,b2533,c3059,ECUMN_2853,UTI89_C2855,ECP_RS12950,1.871601938344307,suhB,inositol-phosphate phosphatase
PROKKA_04566,b1722,c2120,ECUMN_2011,UTI89_C1915,ECP_RS08515,1.875353891214051,ydiY,acid-inducible putative outer membrane protein YdiY
PROKKA_02549,b3556,c4377,ECUMN_4068,UTI89_C4097,ECP_RS18650,1.8864902335007756,cspA,cold shock protein CspA
PROKKA_02064,b3986,c4943,ECUMN_4508,UTI89_C3834,ECP_RS21400,1.9090025372492763,rplL,50S ribosomal subunit protein L12
PROKKA_03604,b2609,c3130,ECUMN_2934,UTI89_C2942,ECP_RS13360,1.944547369754712,rpsP,30S ribosomal subunit protein S16
PROKKA_04196,b2014,c2540,ECUMN_2358,UTI89_C2286,,1.9719982529647786,plaP,putrescine:H(+) symporter PlaP
PROKKA_00931,b0605,c0694,ECUMN_0700,UTI89_C0608,ECP_RS03180,2.015371572106772,ahpC,"alkyl hydroperoxide reductase, AhpC component"
PROKKA_00725,b0805,c0890,ECUMN_0949,UTI89_C0808,ECP_RS04120,2.1143331831076515,fiu,putative iron siderophore outer membrane transporter
